pair,comparison_id,average_distance,average_distance_xyz,left_thumb,right_thumb,left_index,right_index,left_middle,right_middle,left_ring,right_ring,left_pinky,right_pinky,left_wrist,right_wrist,left_right_thumb,left_right_index,left_right_middle,left_right_ring,left_right_pinky,left_right_wrist,right_left_thumb,right_left_index,right_left_middle,right_left_ring,right_left_pinky,right_left_wrist,left_thumb_xyz,right_thumb_xyz,left_index_xyz,right_index_xyz,left_middle_xyz,right_middle_xyz,left_ring_xyz,right_ring_xyz,left_pinky_xyz,right_pinky_xyz,left_wrist_xyz,right_wrist_xyz,left_right_thumb_xyz,left_right_index_xyz,left_right_middle_xyz,left_right_ring_xyz,left_right_pinky_xyz,left_right_wrist_xyz,right_left_thumb_xyz,right_left_index_xyz,right_left_middle_xyz,right_left_ring_xyz,right_left_pinky_xyz,right_left_wrist_xyz,referent,speaker_1,round_1,trial_1,director_1,target_1,accuracy_1,A_gesture_referent_1,B_gesture_referent_1,A_gesture_referent2_1,B_gesture_referent2_1,begin_time_1,end_time_1,duration_1,speaker_2,round_2,trial_2,director_2,target_2,accuracy_2,A_gesture_referent_2,B_gesture_referent_2,A_gesture_referent2_2,B_gesture_referent2_2,begin_time_2,end_time_2,duration_2,A_speech_1,B_speech_1,A_speech_eng_1,B_speech_eng_1,A_LH_gesture_referent_1,A_RH_gesture_referent_1,B_LH_gesture_referent_1,B_RH_gesture_referent_1,iconic_1,A_speech_2,B_speech_2,A_speech_eng_2,B_speech_eng_2,A_LH_gesture_referent_2,A_RH_gesture_referent_2,B_LH_gesture_referent_2,B_RH_gesture_referent_2,iconic_2,begin_time_1_adj,end_time_1_adj,duration_1_adj,begin_time_2_adj,end_time_2_adj,duration_2_adj,A_hands,B_hands,hands_dtw
001,1,0.06757050302441638,0.07068903215100136,0.02118925479429844,0.0750247924491143,0.014322023067180174,0.03798688807623808,0.018198679709536175,0.03377154596853736,0.04590079740895384,0.0355373324858216,0.06081470196533938,0.05386236433797246,0.22368139402153578,0.19055626200846887,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0223641583011079,0.07559372136752021,0.015782359270664344,0.038755101768284735,0.021176681409140252,0.03424107756543679,0.04646306727744037,0.03759002079774637,0.060926913232433016,0.05685301300340583,0.24329109434040846,0.19523117747842797,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,09B,A,1.0,1_1,A,9.0,,09B,,,,23522,23862,340,B,2.0,2_2,B,9.0,,,09B,,,585720,586200,480,En dat is een soort van ja (staand) iets waar die op staat,,And that's kind of a yes (standing) something that it's standing on,,09B,09B,,,True,,En onderop staat die op een eh soort langwerpige balk.,,And at the bottom it's on an um kind of oblong bar.,,,09B,09B,True,23522.0,23862.0,340.0,585720.0,586200.0,480.0,both,both,both
001,2,0.18127642190555002,0.18310168710217462,0.2646953710373713,0.12619361016792244,0.116931084486641,0.14042323672284535,0.15130975218465598,0.10573559983927894,0.12686131945480034,0.09981832131111933,0.10078544654585693,0.10143934695167653,0.34149610366745853,0.49962787049697344,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.26536580366400375,0.126791083368763,0.1204342296584532,0.14149825435741414,0.1546480915692393,0.10698569467383694,0.13111630960000695,0.10026635484516133,0.10629180459851129,0.1016306345532324,0.34214537924769634,0.5000466050897764,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,09A,A,1.0,1_1,A,9.0,,09A,,,,28261,28921,660,B,2.0,2_2,B,9.0,,,09A,,,577893,578153,260,"Dan lijkt het alsof hij geroerd word, omdat er een ja pinnetje op zit",,"Then it looks like it is being stirred, because there is a yes pin on it",,09A,09A,,,True,,En dan zo heb je de lepel in het glas en dan nog een eh uitsteeksel,,And then so you have the spoon in the glass and then another um protrusion,,,,09A,True,28261.0,28921.0,660.0,577858.0,578188.0,330.0,both,right,both
001,3,0.1462202703431446,0.1538732150111687,0.14886771206292126,0.05791056267996605,0.17473734042089,0.06452260369694458,0.16508790425131165,0.12383536382664606,0.06329506752885475,0.15742832165688453,0.03657040256168349,0.14493955028053468,0.06444329115412899,0.5530051239969691,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.1535693871839946,0.059687596983838076,0.1792358850454609,0.07877560540507131,0.17043463271723633,0.1313298549229383,0.07938809855937147,0.16546767504314044,0.05568911390700567,0.15261604953284136,0.06722861918456807,0.553056061648558,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,06B,B,1.0,1_2,B,6.0,,,06B,,,62023,62423,400,A,1.0,1_2,B,6.0,,06B,,,,88685,89085,400,,Ehm het lijkt alsof die een arm heeft.,,Um it looks like that one has an arm.,,,,06B,True,"Ja en ja de de het armpje is het cirkeltje, het bolletje zeg maar.",,"Yes and yes the the the little arm is the little circle, the little ball so to speak.",,06B-REP,06B-REP,,,True,62023.0,62423.0,400.0,88685.0,89085.0,400.0,both,right,both
001,4,0.1353910068400841,0.14233749293039602,0.16359470941097332,0.17476004116083252,0.02164412173198591,0.12257841227536742,0.035132114896188116,0.1354318154156572,0.03857289646197088,0.15077799642552145,0.020371901670804504,0.1610422266320701,0.14619224472801598,0.4545936012716215,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.1646360148248719,0.17764043309159452,0.041264001060081164,0.12920212939687103,0.04722743443530818,0.1402121111365589,0.04968331814495381,0.15367314985102318,0.03705763456077424,0.163715792626469,0.14849642532605195,0.4552414707101945,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,06D,B,1.0,1_2,B,6.0,,,06D,,,63661,63991,330,A,1.0,1_2,B,6.0,,06D,,,,79567,80047,480,,En in die arm zit een een eh langwerpige balk.,,And in that arm is a one um oblong bar.,,,,06D-REP,True,"Ehm ja, die z-zit hij door die arm heen?",,"Um yeah, that z-she's through that arm?",,06D,06D,,,True,63661.0,63991.0,330.0,79567.0,80047.0,480.0,both,right,both
001,5,0.3798693460240357,0.3860247994747012,nan,0.34244544517411035,nan,0.5356570822878186,nan,0.4451171984511415,nan,0.43321812912311775,nan,0.4154926736402899,nan,0.1072855474677367,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.3428569287224585,nan,0.536670945301667,nan,0.4461609298935172,nan,0.43444072981991055,nan,0.4163539572286113,nan,0.13966530588204212,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,06C,B,1.0,1_2,B,6.0,,,06C,,,67671,68071,400,A,2.0,2_9,A,6.0,,06C,,,,684606,685166,560,,En aan de voorkant van die balk zit een cirkel.,,And at the front of that beam is a circle.,,,,06C,True,Ehm dit is weer die ene met dat armpje met die met die (bout) erdoorheen en een cirkel aan de achterkant.,,Um this is the one again with that little arm with the one with the (bolt) through it and a circle on the back.,,,06C,,,True,67671.0,68071.0,400.0,684606.0,685166.0,560.0,right,right,right
001,6,0.2053598344755722,0.21089631474314835,0.18347467070084594,0.1289747108537978,0.17690354320566817,0.22687343255439338,0.178628406372081,0.28952572462281373,0.14712485872866204,0.2852814216962146,0.11275353970839216,0.24761235288779004,0.10573897972820334,0.3814263726480044,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.18941802039262137,0.13056633768825981,0.18356617736610154,0.2324327819356958,0.18543885712536023,0.29384327868471233,0.1581499963854857,0.2902294869139411,0.12477354984786242,0.2532109073744195,0.10748722957995167,0.3816391536233687,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,06B,A,1.0,1_2,B,6.0,,06B,,,,88685,89085,400,B,3.0,3_12,B,6.0,,,06B,,,865657,866957,1300,"Ja en ja de de het armpje is het cirkeltje, het bolletje zeg maar.",,"Yes and yes the the the little arm is the little circle, the little ball so to speak.",,06B-REP,06B-REP,,,True,,"Dit is degene eh die de balk vast heeft,",,"This is the one eh holding the beam,",,,,06B,True,88685.0,89085.0,400.0,865657.0,866957.0,1300.0,both,right,both
001,7,0.20764127377959302,0.2111856828642601,0.3556994239151318,0.15223871670670808,0.20483431744201464,0.1760524951084816,0.19324461984945787,0.18879898110115872,0.194881902354176,0.1456339423305104,0.19016119361383857,0.110088851989151,0.44804438960584086,0.13201645133864678,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.35588766650744336,0.15360278261664756,0.20688507645149548,0.17794185473766636,0.1984666318038284,0.1893964918362556,0.20236806462999146,0.14827209157118443,0.1983837297442514,0.11197723893745133,0.45127036195269576,0.13977620358220952,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,15C,A,1.0,1_3,A,15.0,,15C,,,,109461,110021,560,B,4.0,4_2,B,15.0,,,15C,,,923261,923541,280,"Eh het lijkt alsof hij drijft, omdat er zeg maar een plaat op de helft van dat dingetje zit",,"Um it looks like it floats, because there is, say, a plate on half of that thingy",,15C-REP,15C-REP,,,True,,Ik heb met de glijbaan die drijft.,,I have with the slide that floats.,,,,15C,True,109461.0,110021.0,560.0,923236.0,923566.0,330.0,both,right,both
001,8,0.25482668658047486,0.2590014084301376,0.2198155106725929,0.14642086867679932,0.22505459462050295,0.11806415862394444,0.2379987967955588,0.12410739606681537,0.25047690647417714,0.13408495499952278,0.2509107070361127,0.1355081933472888,0.44443450496694953,0.7710436466854337,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.22608152929595587,0.146838282908556,0.24593234456971155,0.11861265916450947,0.2482295825217004,0.12434126434918802,0.2568757107697519,0.13451190855791098,0.25366087835944046,0.1359738545453031,0.44522426016296535,0.7717346259566575,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,14D,B,1.0,1_4,B,14.0,,,14D,,,131201,131541,340,A,1.0,1_4,B,14.0,,14D,,14B,,142326,143486,1160,,Een soort cilinders met een klein hoekje aan de linkerkant.,,Sort of cylinders with a small corner on the left side.,,,14D,,True,"Ja, ja, ja en die cilinders hebben zo een soort van kronkeltje lijkt het",,"Yes, yes, yes and those cylinders have this kind of twist it seems",,14B,14D,,,True,131201.0,131541.0,340.0,142326.0,143486.0,1160.0,both,left,both
001,9,0.28015208461162694,0.2815231708151943,0.1866792208816158,0.4522537652845754,0.18559244252976329,0.37545635128370913,0.18709976751557905,0.2415073382368105,0.253553151166983,0.14878210042499274,0.3542361946286713,0.10819238564522322,0.513751730947149,0.5551175964053202,0.2730906147672415,0.4230600687153566,0.41734036510975475,0.37905391898098106,0.32691200212377575,1.0826110712115284,0.3338767268885855,0.410736925107431,0.40294653281782405,0.36780516585496487,0.3121573046578338,1.0263875101237308,0.18822397336174754,0.4529560558179551,0.18658693859343445,0.3756315809945421,0.18741369503834945,0.24182217945815626,0.2539189030064686,0.14964780515317963,0.3548030897662263,0.10945207791430997,0.5181924251249395,0.5565838827568196,0.27444547652726975,0.4232086302306101,0.4174519393608346,0.3792435592444795,0.32706673230265393,1.0827813497366956,0.33496330733425556,0.4124689085340532,0.4033775144040181,0.3679217921144005,0.31232515280318074,1.0267288799950176,14C,B,1.0,1_4,B,14.0,,,14C,,,133136,134256,1120,A,2.0,2_1,A,14.0,,14C,,,,548343,548643,300,,En één lange ehm rechtopstaande balk voorop.,,And one long um upright beam in front.,,,,14C-REP,True,"en een ehm eh rechthoekige, ja, rechthoeke, rek- rechthoekige balk",,"and a um um rectangular, yes, rectangular, stretch rectangular beam",,14C,,,,True,133136.0,134256.0,1120.0,548328.0,548658.0,330.0,left,right,left_right
001,10,0.22657757305398402,0.2287654101437005,0.09706827362355526,0.20840193965073653,0.2375008252684666,0.26402239124986004,0.255191014502931,0.3062295742824071,0.23033568817434838,0.3197411664319372,0.18745042083125582,0.27573595106272425,0.24556911082595614,0.0916845207436304,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.10482356576376338,0.20865251400736157,0.23821440787550657,0.2644378458969918,0.25536753976399185,0.3065802539574436,0.23043648102464878,0.32007753286171864,0.18796420137453254,0.27634999032616797,0.2510784258581072,0.10120216301417184,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,13D,A,1.0,1_5,A,13.0,,13D,,,,151001,151621,620,B,2.0,2_10,B,13.0,,,13D,,,694535,694915,380,"OkÃ©, deze die heeft een heel groot vlak aan de onderkant met t- twee armen met allemaal bolletjes",,"Okay, this one which has a very large plane at the bottom with t- two arms with all the little balls",,13D,13D,,,True,,Eh dit is degene die eh op het plateautje staat,,Um this is the one that is eh on the tray,,,13D,13D,True,151001.0,151621.0,620.0,694535.0,694915.0,380.0,both,both,both
